item name,size,colour,shape,status
Onion,medium,neutral,oval,organic
Pomegranate,large,vibrant,oval,fertilized
Onion,large,vibrant,oval,fertilized
Sapota,small,vibrant,oval,fertilized
Ivy gourd,medium,vibrant,irregular,organic
Orange,medium,dull,oval,organic
Onion,large,vibrant,round,fertilized
Apple,medium,dull,round,organic
Orange,medium,dull,round,fertilized
Beetroot,medium,neutral,round,organic
Beetroot,large,vibrant,oval,fertilized
Apple,medium,vibrant,oval,fertilized
Sapota,medium,dull,round,organic
Grapes,large,neutral,irregular,organic
Carrot,large,dull,oval,fertilized
Papaya,medium,neutral,round,organic
Carrot,large,vibrant,oval,fertilized
Beetroot,small,neutral,round,organic
Apple,large,vibrant,round,fertilized
Sapota,large,neutral,oval,fertilized
Grapes,medium,neutral,round,fertilized
Beetroot,small,neutral,oval,organic
Mango,medium,dull,irregular,organic
Onion,small,vibrant,round,fertilized
Guava,medium,vibrant,round,fertilized
Orange,large,neutral,irregular,organic
Banana,medium,vibrant,oval,fertilized
Papaya,large,irregular,oval,fertilized
Sapota,medium,vibrant,oval,organic
Sapota,large,neutral,elongated,fertilized
Mango,medium,irregular,round,fertilized
Grapes,medium,neutral,elongated,organic
Papaya,medium,neutral,round,organic
Garlic,small,dull,round,organic
Banana,small,neutral,oval,fertilized
Garlic,large,irregular,oval,fertilized
Guava,small,dull,elongated,organic
Onion,medium,dull,round,fertilized
Apple,large,vibrant,round,fertilized
Banana,medium,irregular,round,fertilized
Orange,medium,vibrant,oval,fertilized
Mango,small,irregular,irregular,organic
Brinjal,large,vibrant,elongated,fertilized
Banana,small,dull,oval,organic
Grapes,medium,neutral,round,organic
Apple,small,dull,round,organic
Carrot,large,vibrant,round,fertilized
Orange,small,vibrant,round,fertilized
Ivy gourd,medium,dull,round,organic
Pomegranate,large,vibrant,irregular,fertilized
Beetroot,medium,neutral,elongated,organic
Mango,medium,dull,round,organic
Banana,medium,vibrant,round,fertilized
Grapes,large,vibrant,round,fertilized
Pomegranate,large,irregular,round,fertilized
Carrot,medium,irregular,round,fertilized
Grapes,large,vibrant,oval,fertilized
Mango,large,vibrant,irregular,fertilized
Mango,large,dull,irregular,fertilized
Garlic,large,vibrant,round,fertilized
Apple,medium,dull,elongated,organic
Sapota,small,vibrant,elongated,fertilized
Beetroot,medium,dull,round,organic
Garlic,small,dull,round,organic
Banana,medium,dull,oval,organic
Guava,large,vibrant,round,fertilized
Beetroot,large,dull,irregular,organic
Orange,small,dull,round,organic
Carrot,medium,dull,elongated,organic
Onion,medium,vibrant,irregular,fertilized
Mango,large,vibrant,oval,fertilized
Guava,medium,dull,oval,organic
Guava,small,irregular,oval,organic
Beetroot,small,dull,irregular,organic
Ivy gourd,medium,dull,round,fertilized
Papaya,medium,vibrant,round,fertilized
Banana,large,vibrant,round,fertilized
Carrot,large,vibrant,round,fertilized
Ivy gourd,medium,vibrant,oval,fertilized
Beetroot,large,neutral,oval,organic
Pomegranate,small,vibrant,round,organic
Onion,medium,neutral,round,organic
Pomegranate,medium,neutral,oval,organic
Beetroot,large,vibrant,oval,fertilized
Apple,large,irregular,oval,fertilized
Guava,large,vibrant,round,fertilized
Grapes,large,vibrant,oval,fertilized
Carrot,large,dull,round,organic
Grapes,large,vibrant,round,fertilized
Garlic,medium,neutral,oval,organic
Mango,small,dull,round,organic
Papaya,large,vibrant,elongated,fertilized
Mango,medium,vibrant,round,fertilized
Mango,small,neutral,irregular,organic
Sapota,medium,vibrant,oval,fertilized
Apple,large,irregular,oval,fertilized
Beetroot,medium,dull,elongated,organic
Orange,medium,irregular,oval,organic
Banana,medium,dull,elongated,organic
Orange,medium,neutral,oval,fertilized
Guava,small,neutral,elongated,organic
Garlic,medium,irregular,oval,fertilized
Onion,small,irregular,elongated,organic
Brinjal,small,dull,oval,organic
Garlic,medium,vibrant,elongated,fertilized
Guava,small,neutral,elongated,organic
Beetroot,large,vibrant,oval,organic
Mango,small,dull,oval,organic
Guava,small,neutral,round,organic
Carrot,large,vibrant,round,fertilized
Papaya,large,irregular,round,fertilized
Apple,large,vibrant,round,fertilized
Guava,large,vibrant,oval,fertilized
Onion,large,irregular,round,fertilized
Carrot,large,irregular,round,fertilized
Beetroot,medium,dull,oval,organic
Banana,large,vibrant,irregular,fertilized
Onion,medium,dull,irregular,organic
Grapes,medium,neutral,elongated,organic
Ivy gourd,large,vibrant,irregular,fertilized
Orange,medium,vibrant,oval,fertilized
Guava,large,vibrant,oval,fertilized
Guava,large,neutral,elongated,fertilized
Carrot,small,dull,round,organic
Papaya,large,vibrant,oval,fertilized
Mango,medium,dull,irregular,organic
Guava,large,neutral,oval,organic
Orange,medium,dull,oval,organic
Papaya,small,dull,oval,organic
Grapes,medium,neutral,round,organic
Carrot,medium,dull,round,organic
Mango,medium,neutral,oval,fertilized
Orange,medium,vibrant,oval,fertilized
Mango,large,neutral,round,fertilized
Brinjal,small,vibrant,round,fertilized
Onion,small,vibrant,irregular,organic
Sapota,large,vibrant,oval,fertilized
Banana,small,neutral,round,fertilized
Banana,medium,irregular,irregular,organic
Mango,small,dull,elongated,organic
Guava,large,vibrant,oval,organic
Banana,small,vibrant,oval,organic
Guava,small,dull,oval,organic
Orange,large,dull,irregular,organic
Banana,medium,irregular,oval,organic
Brinjal,large,dull,irregular,organic
Garlic,small,vibrant,round,fertilized
Guava,medium,neutral,irregular,organic
Mango,small,dull,round,organic
Mango,medium,vibrant,oval,fertilized
Brinjal,small,dull,round,organic
Beetroot,small,vibrant,irregular,fertilized
Papaya,small,dull,round,fertilized
Papaya,small,irregular,elongated,organic
Papaya,medium,neutral,irregular,organic
Papaya,large,dull,round,fertilized
Apple,medium,vibrant,elongated,fertilized
Garlic,large,vibrant,round,fertilized
Orange,medium,vibrant,oval,fertilized
Mango,large,vibrant,oval,fertilized
Guava,small,neutral,elongated,organic
Ivy gourd,large,vibrant,oval,fertilized
Pomegranate,small,vibrant,oval,fertilized
Beetroot,large,neutral,elongated,fertilized
Grapes,small,vibrant,round,fertilized
Mango,medium,vibrant,elongated,fertilized
Papaya,small,neutral,oval,organic
Carrot,large,vibrant,oval,fertilized
Mango,medium,irregular,oval,fertilized
Grapes,medium,irregular,irregular,fertilized
Apple,small,irregular,oval,fertilized
Pomegranate,large,dull,round,organic
Ivy gourd,medium,neutral,oval,fertilized
Garlic,medium,dull,round,organic
Orange,medium,dull,oval,organic
Banana,small,vibrant,round,fertilized
Garlic,large,vibrant,oval,organic
Apple,large,vibrant,round,fertilized
Ivy gourd,medium,dull,oval,organic
Beetroot,medium,dull,oval,fertilized
Orange,medium,irregular,irregular,fertilized
Onion,medium,vibrant,round,fertilized
Carrot,medium,neutral,irregular,organic
Pomegranate,large,irregular,round,fertilized
Apple,medium,dull,oval,fertilized
Banana,medium,neutral,round,fertilized
Banana,medium,neutral,round,organic
Mango,medium,irregular,oval,organic
Brinjal,medium,dull,round,organic
Orange,small,vibrant,round,fertilized
Orange,small,dull,round,organic
Pomegranate,large,neutral,round,fertilized
Sapota,medium,dull,round,organic
Onion,medium,irregular,round,organic
Sapota,large,dull,elongated,organic
Ivy gourd,medium,dull,oval,organic
Pomegranate,large,irregular,oval,fertilized
Banana,medium,vibrant,round,fertilized
Apple,medium,neutral,round,fertilized
Orange,small,vibrant,oval,fertilized
Orange,small,dull,irregular,organic
Onion,medium,dull,round,organic
Guava,medium,neutral,oval,organic
Mango,large,dull,round,organic
Carrot,medium,dull,oval,organic
Grapes,large,vibrant,oval,fertilized
Banana,medium,dull,elongated,organic
Apple,medium,vibrant,oval,fertilized
Sapota,medium,dull,oval,organic
Sapota,large,dull,oval,fertilized
Banana,medium,vibrant,oval,fertilized
Carrot,medium,vibrant,round,organic
Ivy gourd,medium,dull,oval,organic
Onion,medium,dull,oval,organic
Grapes,small,dull,round,organic
Orange,medium,vibrant,round,fertilized
Carrot,small,vibrant,oval,organic
Brinjal,large,vibrant,round,fertilized
Grapes,large,neutral,elongated,fertilized
Onion,medium,irregular,oval,organic
Brinjal,large,vibrant,oval,fertilized
Carrot,large,dull,round,fertilized
Apple,small,dull,oval,organic
Beetroot,medium,neutral,irregular,fertilized
Papaya,large,vibrant,round,fertilized
Sapota,large,neutral,irregular,organic
Mango,medium,neutral,round,fertilized
Beetroot,large,vibrant,irregular,fertilized
Garlic,medium,irregular,oval,fertilized
Guava,medium,vibrant,oval,fertilized
Sapota,small,irregular,round,organic
Grapes,medium,neutral,round,organic
Mango,small,dull,irregular,organic
Apple,small,dull,oval,organic
Banana,large,neutral,oval,organic
Brinjal,small,neutral,round,organic
Mango,large,vibrant,round,fertilized
Beetroot,large,vibrant,round,fertilized
Guava,large,irregular,irregular,organic
Apple,medium,vibrant,round,fertilized
Orange,small,neutral,round,organic
Mango,small,neutral,oval,organic
Guava,medium,irregular,round,fertilized
Apple,small,dull,round,fertilized
Garlic,large,vibrant,elongated,fertilized
Mango,medium,vibrant,irregular,fertilized
Brinjal,small,neutral,oval,organic
Pomegranate,large,neutral,round,fertilized
Ivy gourd,large,vibrant,irregular,fertilized
Mango,large,irregular,irregular,fertilized
Guava,small,neutral,round,organic
Carrot,large,irregular,oval,fertilized
Mango,large,vibrant,round,fertilized
Beetroot,medium,irregular,oval,organic
Sapota,medium,dull,irregular,organic
Sapota,large,vibrant,round,fertilized
Pomegranate,medium,neutral,oval,organic
Sapota,large,irregular,irregular,fertilized
Mango,medium,dull,irregular,organic
Apple,medium,dull,irregular,organic
Brinjal,large,irregular,round,fertilized
Onion,large,vibrant,round,fertilized
Banana,small,irregular,elongated,fertilized
Banana,large,vibrant,round,fertilized
Banana,small,dull,oval,organic
Banana,small,neutral,elongated,organic
Guava,medium,neutral,elongated,organic
Ivy gourd,medium,irregular,elongated,organic
Orange,large,vibrant,oval,fertilized
Brinjal,large,irregular,round,fertilized
Mango,medium,dull,round,organic
Brinjal,large,neutral,irregular,organic
Carrot,small,irregular,elongated,organic
Onion,large,vibrant,round,fertilized
Onion,small,dull,irregular,fertilized
Onion,small,neutral,oval,organic
Carrot,large,neutral,oval,fertilized
Carrot,large,neutral,round,fertilized
Carrot,medium,irregular,oval,fertilized
Papaya,medium,irregular,oval,organic
Grapes,small,dull,round,organic
Guava,medium,dull,oval,organic
Orange,small,dull,oval,organic
Brinjal,large,vibrant,oval,fertilized
Garlic,large,vibrant,irregular,fertilized
Banana,small,neutral,round,organic
Carrot,large,vibrant,round,fertilized
Carrot,large,vibrant,oval,fertilized
Banana,medium,dull,oval,organic
Brinjal,large,neutral,irregular,organic
Beetroot,small,neutral,oval,organic
Orange,medium,neutral,round,fertilized
Onion,medium,dull,round,organic
Carrot,medium,vibrant,oval,fertilized
Mango,medium,dull,elongated,fertilized
Brinjal,medium,dull,oval,organic
Orange,large,dull,round,fertilized
Beetroot,medium,dull,round,organic
Brinjal,large,dull,round,fertilized
Brinjal,small,dull,irregular,organic
Pomegranate,small,vibrant,oval,fertilized
Garlic,medium,irregular,irregular,fertilized
Papaya,small,neutral,elongated,organic
Garlic,medium,vibrant,elongated,fertilized
Guava,small,dull,oval,organic
Guava,medium,vibrant,oval,fertilized
Ivy gourd,small,dull,oval,organic
Mango,small,dull,round,organic
Carrot,medium,irregular,oval,fertilized
Garlic,medium,vibrant,oval,fertilized
Orange,large,vibrant,round,fertilized
Pomegranate,large,dull,round,fertilized
Orange,medium,neutral,irregular,organic
Brinjal,medium,dull,irregular,organic
Brinjal,small,irregular,round,organic
Grapes,small,dull,irregular,organic
Mango,small,neutral,oval,organic
Carrot,small,dull,elongated,organic
Ivy gourd,medium,dull,elongated,fertilized
Pomegranate,medium,dull,elongated,organic
Ivy gourd,medium,vibrant,oval,fertilized
Mango,medium,dull,round,organic
Ivy gourd,small,neutral,irregular,organic
Garlic,small,dull,elongated,organic
Brinjal,large,vibrant,round,fertilized
Brinjal,medium,vibrant,irregular,organic
Orange,medium,vibrant,round,fertilized
Banana,large,vibrant,round,fertilized
Beetroot,medium,vibrant,round,organic
Pomegranate,small,vibrant,oval,organic
Apple,small,dull,round,organic
Garlic,large,vibrant,oval,fertilized
Mango,small,dull,oval,organic
Beetroot,small,vibrant,round,fertilized
Grapes,large,vibrant,oval,fertilized
Pomegranate,medium,vibrant,round,organic
Papaya,small,vibrant,elongated,fertilized
Carrot,large,vibrant,oval,fertilized
Garlic,large,dull,oval,fertilized
Garlic,large,vibrant,elongated,fertilized
Carrot,small,dull,oval,organic
Ivy gourd,large,neutral,round,fertilized
Onion,medium,dull,elongated,organic
Guava,large,vibrant,oval,fertilized
Apple,medium,dull,elongated,organic
Brinjal,large,vibrant,round,fertilized
Orange,medium,vibrant,elongated,organic
Apple,small,dull,irregular,organic
Pomegranate,medium,neutral,oval,organic
Beetroot,medium,neutral,oval,fertilized
Grapes,medium,neutral,elongated,organic
Pomegranate,medium,irregular,oval,fertilized
Mango,large,neutral,elongated,fertilized
Guava,large,vibrant,oval,fertilized
Sapota,medium,vibrant,round,fertilized
Onion,medium,vibrant,round,fertilized
Brinjal,medium,dull,round,fertilized
Apple,large,vibrant,irregular,fertilized
Beetroot,medium,irregular,elongated,organic
Orange,medium,neutral,oval,organic
Garlic,medium,irregular,round,fertilized
Orange,medium,dull,round,organic
Garlic,large,irregular,round,fertilized
Mango,small,irregular,elongated,organic
Banana,large,vibrant,round,fertilized
Beetroot,large,dull,elongated,organic
Ivy gourd,medium,dull,elongated,organic
Papaya,medium,neutral,round,fertilized
Apple,large,vibrant,round,fertilized
Guava,medium,irregular,oval,organic
Sapota,small,neutral,elongated,organic
Sapota,medium,dull,irregular,organic
Pomegranate,medium,neutral,irregular,organic
Mango,large,vibrant,oval,fertilized
Sapota,large,vibrant,oval,fertilized
Orange,medium,dull,elongated,organic
Carrot,medium,neutral,round,organic
Grapes,medium,dull,oval,organic
Guava,large,vibrant,oval,fertilized
Apple,large,vibrant,oval,fertilized
Pomegranate,medium,neutral,elongated,organic
Carrot,medium,dull,oval,organic
Mango,large,vibrant,round,fertilized
Carrot,medium,neutral,round,organic
Carrot,medium,neutral,round,organic
Apple,small,dull,irregular,organic
Onion,medium,dull,oval,organic
Onion,large,vibrant,round,fertilized
Orange,medium,vibrant,oval,fertilized
Orange,medium,vibrant,oval,fertilized
Sapota,medium,vibrant,oval,organic
Garlic,medium,vibrant,round,fertilized
Onion,large,dull,oval,fertilized
Beetroot,medium,dull,elongated,organic
Mango,large,irregular,round,organic
Sapota,large,dull,irregular,fertilized
Mango,small,neutral,round,organic
Onion,large,vibrant,elongated,fertilized
Onion,medium,neutral,oval,organic
Carrot,small,neutral,oval,organic
Pomegranate,large,irregular,oval,fertilized
Grapes,large,dull,irregular,organic
Orange,large,neutral,elongated,fertilized
Pomegranate,large,irregular,oval,organic
Carrot,medium,neutral,oval,organic
Garlic,medium,dull,oval,organic
Papaya,large,irregular,oval,fertilized
Onion,medium,dull,irregular,organic
Papaya,large,neutral,oval,fertilized
Apple,small,vibrant,elongated,organic
Grapes,large,irregular,irregular,fertilized
Apple,small,dull,round,organic
Banana,medium,dull,oval,organic
Brinjal,large,vibrant,oval,fertilized
Orange,large,irregular,round,fertilized
Orange,large,irregular,oval,fertilized
Mango,small,dull,round,organic
Onion,medium,vibrant,oval,fertilized
Grapes,large,dull,round,organic
Guava,small,dull,elongated,organic
Garlic,medium,neutral,round,organic
Orange,small,dull,oval,organic
Banana,large,vibrant,round,fertilized
Sapota,medium,vibrant,round,fertilized
Mango,medium,dull,round,fertilized
Grapes,medium,vibrant,round,fertilized
Sapota,large,vibrant,oval,fertilized
Pomegranate,small,vibrant,round,organic
Beetroot,small,dull,irregular,organic
Mango,small,dull,elongated,organic
Ivy gourd,medium,dull,round,organic
Orange,large,irregular,oval,fertilized
Guava,small,neutral,round,organic
Apple,large,vibrant,oval,fertilized
Garlic,medium,vibrant,round,fertilized
Carrot,medium,irregular,oval,fertilized
Ivy gourd,medium,dull,round,organic
Sapota,large,dull,round,fertilized
Beetroot,large,neutral,oval,fertilized
Ivy gourd,medium,neutral,oval,organic
Garlic,large,vibrant,oval,fertilized
Papaya,medium,dull,round,organic
Beetroot,large,vibrant,irregular,fertilized
Banana,medium,dull,oval,organic
Papaya,large,vibrant,round,fertilized
Carrot,small,vibrant,round,organic
Sapota,large,irregular,oval,fertilized
Carrot,large,vibrant,elongated,fertilized
Guava,large,vibrant,round,fertilized
Ivy gourd,large,dull,oval,fertilized
Sapota,medium,vibrant,round,fertilized
Mango,medium,neutral,round,organic
Carrot,large,neutral,irregular,organic
Garlic,small,dull,elongated,organic
Carrot,medium,irregular,oval,fertilized
Pomegranate,large,vibrant,elongated,fertilized
Sapota,medium,dull,oval,organic
Papaya,large,vibrant,oval,fertilized
Banana,medium,vibrant,oval,fertilized
Onion,large,vibrant,round,fertilized
Pomegranate,small,vibrant,oval,fertilized
Pomegranate,large,vibrant,oval,fertilized
Orange,large,irregular,round,organic
Sapota,medium,vibrant,oval,organic
Beetroot,medium,vibrant,irregular,fertilized
Garlic,medium,dull,oval,organic
Guava,medium,vibrant,round,organic
Guava,large,neutral,oval,organic
Garlic,large,vibrant,round,fertilized
Onion,small,dull,oval,organic
Papaya,large,vibrant,oval,fertilized
Apple,small,vibrant,oval,organic
Brinjal,large,irregular,round,fertilized
Guava,large,irregular,round,fertilized
Sapota,large,dull,oval,fertilized
Mango,medium,vibrant,round,organic
Papaya,medium,neutral,elongated,organic
Papaya,medium,dull,round,organic
Grapes,large,vibrant,oval,fertilized
Garlic,large,dull,oval,organic
Apple,large,dull,oval,fertilized
Brinjal,medium,dull,round,organic
Guava,large,vibrant,round,fertilized
Mango,small,neutral,irregular,fertilized
Ivy gourd,small,vibrant,elongated,fertilized
Sapota,large,vibrant,irregular,organic
Mango,large,dull,oval,organic
Onion,large,dull,elongated,organic
Garlic,medium,vibrant,oval,fertilized
Beetroot,medium,vibrant,irregular,fertilized
Garlic,small,dull,elongated,organic
Banana,medium,dull,round,organic
Onion,medium,neutral,irregular,organic
Carrot,small,dull,oval,organic
Mango,large,vibrant,round,fertilized
Sapota,large,irregular,oval,fertilized
Beetroot,medium,dull,oval,fertilized
Pomegranate,medium,dull,elongated,organic
Carrot,large,dull,round,organic
Grapes,medium,neutral,round,organic
Beetroot,medium,neutral,round,organic
Beetroot,small,neutral,irregular,organic
Ivy gourd,medium,dull,irregular,organic
Sapota,small,neutral,elongated,organic
Apple,small,vibrant,irregular,organic
Apple,medium,neutral,round,organic
Garlic,medium,dull,irregular,organic
Orange,medium,dull,round,organic
Brinjal,large,dull,irregular,fertilized
Carrot,small,vibrant,oval,fertilized
Pomegranate,medium,dull,round,fertilized
Carrot,medium,vibrant,oval,fertilized
Ivy gourd,large,dull,elongated,organic
Pomegranate,small,neutral,irregular,organic
Sapota,medium,neutral,round,organic
Grapes,medium,irregular,oval,fertilized
Orange,medium,neutral,oval,fertilized
Onion,large,irregular,irregular,organic
Papaya,small,irregular,elongated,fertilized
Sapota,large,irregular,oval,fertilized
Orange,large,neutral,oval,fertilized
Apple,small,dull,oval,organic
Apple,medium,neutral,round,organic
Orange,small,neutral,round,organic
Pomegranate,medium,neutral,elongated,organic
Carrot,small,dull,round,organic
Sapota,medium,dull,oval,organic
Carrot,large,vibrant,round,fertilized
Ivy gourd,medium,dull,oval,organic
Guava,small,dull,oval,organic
Onion,medium,dull,oval,organic
Garlic,medium,vibrant,oval,fertilized
Guava,medium,irregular,oval,organic
Brinjal,medium,neutral,round,organic
Grapes,small,vibrant,elongated,organic
Garlic,large,vibrant,round,fertilized
Pomegranate,small,dull,round,organic
Mango,large,neutral,irregular,organic
Banana,small,dull,elongated,organic
Ivy gourd,large,dull,oval,organic
Carrot,small,dull,elongated,organic
Papaya,small,neutral,oval,organic
Garlic,medium,neutral,round,organic
Grapes,medium,neutral,round,organic
Onion,medium,vibrant,round,fertilized
Guava,small,dull,round,organic
Banana,small,irregular,oval,organic
Apple,large,dull,round,organic
Carrot,medium,dull,irregular,organic
Grapes,small,vibrant,oval,organic
Carrot,medium,vibrant,elongated,organic
Carrot,medium,dull,elongated,organic
Guava,large,vibrant,oval,fertilized
Garlic,large,vibrant,round,fertilized
Garlic,large,vibrant,round,fertilized
Mango,small,vibrant,oval,fertilized
Orange,small,dull,oval,organic
Banana,small,dull,round,organic
Banana,small,dull,round,organic
Onion,small,neutral,round,organic
Apple,large,dull,oval,organic
Onion,large,vibrant,round,fertilized
Garlic,medium,vibrant,oval,fertilized
Papaya,small,vibrant,round,organic
Ivy gourd,small,dull,round,organic
Grapes,medium,dull,elongated,organic
Carrot,small,dull,irregular,organic
Banana,medium,dull,elongated,organic
Orange,large,vibrant,round,fertilized
Mango,medium,dull,round,organic
Guava,medium,vibrant,elongated,fertilized
Papaya,small,vibrant,oval,fertilized
Sapota,medium,dull,round,organic
Carrot,medium,dull,round,organic
Banana,large,vibrant,irregular,fertilized
Ivy gourd,medium,irregular,round,organic
Carrot,medium,neutral,irregular,organic
Mango,small,dull,irregular,organic
Onion,medium,dull,oval,organic
Orange,large,vibrant,round,fertilized
Ivy gourd,medium,dull,irregular,organic
Guava,medium,dull,oval,organic
Sapota,large,vibrant,elongated,fertilized
Garlic,medium,vibrant,oval,fertilized
Pomegranate,medium,irregular,irregular,organic
Ivy gourd,medium,neutral,round,organic
Carrot,medium,neutral,round,organic
Sapota,large,vibrant,elongated,fertilized
Papaya,large,vibrant,round,fertilized
Ivy gourd,large,neutral,round,fertilized
Guava,small,dull,oval,organic
Onion,small,dull,oval,organic
Ivy gourd,medium,dull,oval,organic
Apple,small,neutral,oval,organic
Pomegranate,medium,dull,round,organic
Banana,large,vibrant,round,fertilized
Brinjal,small,irregular,oval,organic
Ivy gourd,medium,neutral,elongated,organic
Brinjal,small,vibrant,irregular,organic
Carrot,large,dull,oval,fertilized
Orange,medium,vibrant,irregular,fertilized
Pomegranate,small,neutral,irregular,organic
Papaya,medium,vibrant,oval,fertilized
Brinjal,medium,dull,elongated,organic
Garlic,large,vibrant,round,fertilized
Papaya,small,dull,oval,organic
Grapes,large,vibrant,oval,fertilized
Sapota,small,neutral,irregular,organic
Sapota,medium,neutral,oval,organic
Papaya,medium,dull,oval,organic
Brinjal,large,dull,round,organic
Guava,large,neutral,irregular,organic
Onion,medium,neutral,irregular,organic
Papaya,large,vibrant,round,fertilized
Sapota,large,vibrant,round,fertilized
Ivy gourd,large,neutral,round,organic
Onion,medium,neutral,round,organic
Orange,medium,dull,irregular,organic
Carrot,small,dull,round,organic
Garlic,medium,dull,round,organic
Orange,small,dull,elongated,organic
Sapota,large,neutral,irregular,organic
Grapes,small,dull,elongated,organic
Guava,large,vibrant,round,fertilized
Orange,large,vibrant,round,fertilized
Onion,large,dull,round,fertilized
Onion,small,neutral,oval,organic
Guava,small,vibrant,round,fertilized
Apple,medium,dull,oval,organic
Beetroot,large,irregular,round,fertilized
Papaya,medium,dull,round,organic
Guava,large,vibrant,round,fertilized
Brinjal,large,irregular,round,fertilized
Guava,large,neutral,round,fertilized
Ivy gourd,medium,dull,round,organic
Ivy gourd,small,dull,oval,organic
Brinjal,large,vibrant,oval,fertilized
Brinjal,large,vibrant,round,fertilized
Carrot,large,vibrant,oval,fertilized
Carrot,medium,dull,oval,organic
Apple,large,irregular,irregular,fertilized
Onion,medium,dull,oval,organic
Beetroot,large,neutral,irregular,organic
Garlic,small,vibrant,oval,fertilized
Carrot,medium,dull,oval,fertilized
Beetroot,large,vibrant,round,fertilized
Mango,medium,vibrant,oval,fertilized
Banana,small,dull,oval,organic
Papaya,medium,vibrant,round,fertilized
Garlic,small,vibrant,oval,fertilized
Mango,small,dull,round,organic
Onion,large,irregular,round,fertilized
Apple,medium,neutral,oval,organic
Guava,medium,dull,oval,organic
Beetroot,large,vibrant,elongated,fertilized
Sapota,large,neutral,round,fertilized
Pomegranate,large,irregular,oval,fertilized
Guava,large,vibrant,oval,fertilized
Banana,large,vibrant,oval,fertilized
Grapes,small,neutral,elongated,organic
Grapes,medium,vibrant,round,organic
Apple,small,neutral,round,organic
Sapota,small,neutral,elongated,organic
Grapes,medium,dull,irregular,organic
Onion,medium,neutral,irregular,organic
Brinjal,medium,neutral,oval,organic
Beetroot,small,irregular,oval,fertilized
Papaya,medium,dull,elongated,organic
Ivy gourd,large,dull,round,organic
Orange,medium,dull,oval,fertilized
